date,cal_holiday,weather_temp,weather_rain_1h,weather_snow_1h,weather_clouds_all,weather_main,weather_description,traffic_volume,hour
17167,None,269.75,0.0,0.0,75.0,Clouds,broken clouds,1848.0,0
17167,None,269.95,0.0,0.0,1.0,Clear,sky is clear,1806.0,1
17167,None,269.75,0.0,0.0,1.0,Clear,sky is clear,1211.0,2
17167,None,269.65,0.0,0.0,40.0,Clouds,scattered clouds,794.0,3
17167,None,269.48,0.0,0.0,1.0,Clear,sky is clear,500.0,4
17167,None,269.22,0.0,0.0,1.0,Clear,sky is clear,513.0,5
17167,None,268.9,0.0,0.0,1.0,Clear,sky is clear,821.0,6
17167,None,268.34,0.0,0.0,40.0,Clouds,scattered clouds,950.0,7
17167,None,267.9,0.0,0.0,1.0,Clear,sky is clear,1284.0,8
17167,None,267.71,0.0,0.0,20.0,Clouds,few clouds,2279.0,9
17167,None,269.02,0.0,0.0,1.0,Clear,sky is clear,3592.0,10
17167,None,270.34,0.0,0.0,1.0,Clear,sky is clear,3500.0,11
17167,None,271.27,0.0,0.0,75.0,Clouds,broken clouds,3364.0,12
17167,None,271.46,0.0,0.0,90.0,Clouds,overcast clouds,3252.0,13
17167,None,271.9,0.0,0.0,75.0,Clouds,broken clouds,3431.0,14
17167,None,271.71,0.0,0.0,75.0,Clouds,broken clouds,3585.0,15
17167,None,271.59,0.0,0.0,40.0,Clouds,scattered clouds,3594.0,16
17167,None,271.09,0.0,0.0,1.0,Clear,sky is clear,3133.0,17
17167,None,270.53,0.0,0.0,75.0,Clouds,broken clouds,2955.0,18
17167,None,270.47,0.0,0.0,90.0,Clouds,overcast clouds,2412.0,19
17167,None,270.55,0.0,0.0,40.0,Clouds,scattered clouds,1981.0,20
17167,None,270.49,0.0,0.0,90.0,Clouds,overcast clouds,1777.0,21
17167,None,270.48,0.0,0.0,90.0,Clouds,overcast clouds,1438.0,22
17167,None,270.55,0.0,0.0,90.0,Snow,light snow,1043.0,23
17168,New Years Day,270.62,0.0,0.0,90.0,Snow,light snow,798.0,0
17168,None,270.55,0.0,0.0,90.0,Snow,light snow,522.0,1
17168,None,270.49,0.0,0.0,90.0,Snow,light snow,457.0,2
17168,None,270.42,0.0,0.0,90.0,Snow,light snow,363.0,3
17168,None,270.49,0.0,0.0,90.0,Clouds,overcast clouds,508.0,4
17168,None,270.49,0.0,0.0,90.0,Clouds,overcast clouds,849.0,5
17168,None,270.62,0.0,0.0,90.0,Clouds,overcast clouds,1562.0,6
17168,None,270.82,0.0,0.0,90.0,Clouds,overcast clouds,1792.0,7
17168,None,270.88,0.0,0.0,90.0,Clouds,overcast clouds,2014.0,8
17168,None,271.55,0.0,0.0,90.0,Clouds,overcast clouds,2401.0,9
17168,None,271.65,0.0,0.0,90.0,Snow,light snow,2832.0,10
